,Drug,Inhibited_by,Treatment time,MIC,Concentration,Unit_MIC,Percent_Survival,Growth_inhibition,Growth,Use_in_survival_calc,Log_CFU,Drug_inhibition,Estimated_inhibition,Expected_inhibition,MIC50_new,xMIC50,Hue_name,Experiment,CVS,ref_CVS
DEL_Transcripts_H37Rv_T0_1_C.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
DEL_Transcripts_H37Rv_T0_1_B.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
OPC_Transcripts_H37Rv_T0_1_A.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
OPC_Transcripts_H37Rv_T0_1_C.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
OPC_Transcripts_H37Rv_T0_1_B.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T0_1_A.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T0_1_C.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T0_1_B.txt,No drug,,0,0,0,,,,,,,,,,,0,,BL_data,2.32E+12,2.32E+12
T0_A_READS,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_B_READS,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_C_READS,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_A_READS.1,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_B_READS.1,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_C_READS.1,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_A_READS.2,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.30E+12,2.32E+12
T0_B_READS.2,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.30E+12,2.32E+12
T0_C_READS.2,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.30E+12,2.32E+12
T0_A_READS.3,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_B_READS.3,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_C_READS.3,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_A_READS,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_B_READS,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_C_READS,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_A_READS.1,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_B_READS.1,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_C_READS.1,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_A_READS.2,No drug,Untreated,0,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.30E+12,2.32E+12
T0_B_READS.2,No drug,Untreated,0,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.30E+12,2.32E+12
T0_C_READS.2,No drug,Untreated,0,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.30E+12,2.32E+12
T0_A_READS.3,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_B_READS.3,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T0_C_READS.3,No drug,Untreated,0,0,0,0,1,0,1,YES,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
DEL_Transcripts_H37Rv_T4_0x_A.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
DEL_Transcripts_H37Rv_T4_0x_B.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
DEL_Transcripts_H37Rv_T4_0x_C.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T4_0x_A.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T4_0x_B.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T4_0x_C.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
TBA_Transcripts_H37Rv_T4_0x_A.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
TBA_Transcripts_H37Rv_T4_0x_B.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T4_0x_C.txt,No drug,,4,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
T4_0x_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T4_0x_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T4_0x_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T4_CFZ_0x_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_CFZ_0x_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_CFZ_0x_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_LZD_0x_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_LZD_0x_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_LZD_0x_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_0x_A_READS.1,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_0x_B_READS.1,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_0x_C_READS.1,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_0x_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T4_0x_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T4_0x_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T4_CFZ_0x_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_CFZ_0x_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_CFZ_0x_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_LZD_0x_A_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_LZD_0x_B_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T4_LZD_0x_C_READS,No drug,Untreated,4,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
DEL_Transcripts_H37Rv_T24_0x_A.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
DEL_Transcripts_H37Rv_T24_0x_B.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
DEL_Transcripts_H37Rv_T24_0x_C.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T24_0x_A.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T24_0x_B.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T24_0x_C.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
TBA_Transcripts_H37Rv_T24_0x_A.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T24_0x_B.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T24_0x_C.txt,No drug,,24,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
T24_0x_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_0x_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_0x_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_CFZ_0x_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_CFZ_0x_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_CFZ_0x_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_LZD_0x_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_LZD_0x_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_LZD_0x_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T24_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T24_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T24_0x_A_READS.1,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T24_0x_B_READS.1,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_0x_C_READS.1,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.31E+12,2.32E+12
T24_0x_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_0x_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_0x_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_CFZ_0x_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_CFZ_0x_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_CFZ_0x_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_LZD_0x_A_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_LZD_0x_B_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T24_LZD_0x_C_READS,No drug,Untreated,24,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
DEL_Transcripts_H37Rv_T72_0x_A.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
DEL_Transcripts_H37Rv_T72_0x_B.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
DEL_Transcripts_H37Rv_T72_0x_C.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
OPC_Transcripts_H37Rv_T72_0x_A.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
OPC_Transcripts_H37Rv_T72_0x_B.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.30E+12,2.32E+12
OPC_Transcripts_H37Rv_T72_0x_C.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.31E+12,2.32E+12
TBA_Transcripts_H37Rv_T72_0x_A.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.32E+12,2.32E+12
TBA_Transcripts_H37Rv_T72_0x_B.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.32E+12,2.32E+12
TBA_Transcripts_H37Rv_T72_0x_C.txt,No drug,,72,0,0,,,,,,,,,,,0,,BL_data,2.32E+12,2.32E+12
T72_0x_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_CFZ_0x_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_CFZ_0x_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_CFZ_0x_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_A_READS.1,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_B_READS.1,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_C_READS.1,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_LZD_0x_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_LZD_0x_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_LZD_0x_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_0x_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_CFZ_0x_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_CFZ_0x_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_CFZ_0x_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_A_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_B_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
T72_C_READS,No drug,Untreated,72,0,0,0,1,0,1,NO,1000000,1,1,0,,0,No drug,BL_data,2.32E+12,2.32E+12
